,기관명,소계,방범용,"도시공원, 놀이터",어린이 보호,쓰레기 무단투기,기타
0,강남구,"4,758","3,297",385.0,567.0,0.0,509.0
1,강동구,"1,493",810,96.0,164.0,27.0,396.0
2,강북구,946,633,94.0,114.0,0.0,105.0
3,강서구,"1,202",807,78.0,228.0,28.0,61.0
4,관악구,"3,223","1,998",204.0,279.0,130.0,612.0
5,광진구,"1,228",894,34.0,162.0,72.0,66.0
6,구로구,"2,746","1,601",308.0,445.0,29.0,363.0
7,금천구,"1,526",790,152.0,207.0,32.0,345.0
8,노원구,"1,576",871,246.0,178.0,126.0,155.0
9,도봉구,899,358,98.0,94.0,61.0,288.0
10,동대문구,"1,555",992,100.0,311.0,19.0,133.0
11,동작구,"1,792","1,255",103.0,188.0,0.0,246.0
12,마포구,"1,743","1,077",99.0,134.0,0.0,433.0
13,서대문구,"2,705","1,865",88.0,216.0,0.0,536.0
14,서초구,"1,868","1,045",343.0,137.0,0.0,343.0
15,성동구,"2,554","1,544",94.0,381.0,77.0,458.0
16,성북구,"2,221","1,401",100.0,350.0,106.0,264.0
17,송파구,"1,203",549,156.0,173.0,19.0,306.0
18,양천구,"2,498","1,491",113.0,755.0,8.0,131.0
19,영등포구,"1,839",964,107.0,168.0,49.0,551.0
20,용산구,"2,379","1,522",120.0,179.0,0.0,558.0
21,은평구,"2,505","1,475",226.0,607.0,3.0,194.0
22,종로구,"1,925","1,145",85.0,38.0,0.0,657.0
23,중구,"1,260",604,133.0,51.0,60.0,412.0
24,중랑구,"1,053",657,75.0,55.0,9.0,257.0
